instance,parent,issue_type,dead_names,missing_slots,visual_tier,sibling_group,lookdev_note
/Game/EnvSandbox/Materials/Instances/Sakura/MI_Sakura_Bark,/Game/EnvSandbox/Materials/Masters/M_Master_Toon_Universal.M_Master_Toon_Universal,OK,,,MID,,Live overrides present
/Game/EnvSandbox/Materials/Instances/Sakura/MI_Sakura_Blossom,/Game/EnvSandbox/Materials/Masters/M_Master_Toon_Universal.M_Master_Toon_Universal,OK,,,MID,,Live overrides present
/Game/EnvSandbox/Materials/Instances/Sakura/MI_Sakura_Bridge,/Game/EnvSandbox/Materials/Masters/M_Master_Toon_Universal.M_Master_Toon_Universal,OK,,,MID,,Live overrides present
/Game/EnvSandbox/Materials/Instances/Sakura/MI_Sakura_Grass,/Game/EnvSandbox/Materials/Masters/M_Master_Toon_Universal.M_Master_Toon_Universal,OK,,,MID,,Live overrides present
/Game/EnvSandbox/Materials/Instances/Sakura/MI_Sakura_Lantern,/Game/EnvSandbox/Materials/Masters/M_Master_Toon_Universal.M_Master_Toon_Universal,OK,,,MID,,Live overrides present
/Game/EnvSandbox/Materials/Instances/Sakura/MI_Sakura_Moss,/Game/EnvSandbox/Materials/Masters/M_Master_Toon_Universal.M_Master_Toon_Universal,DEAD-OVERRIDE,ShadowContactBoost,,MID,,Dead overrides may cause unpredictable shading: ShadowContactBoost
/Game/EnvSandbox/Materials/Instances/Sakura/MI_Sakura_Petals,/Game/EnvSandbox/Materials/Masters/M_Master_Toon_Universal.M_Master_Toon_Universal,MARBLE-DEFAULT,,Albedo,MID,,Missing albedo texture - will show master default (likely grey/marble)
/Game/EnvSandbox/Materials/Instances/Sakura/MI_Sakura_StonePath,/Game/EnvSandbox/Materials/Masters/M_Master_Toon_Universal.M_Master_Toon_Universal,DEAD-OVERRIDE,ShadowContactBoost; ShadowFlowerAlbedoDarken; ShadowFlowerScaleFine,,MID,,Dead overrides may cause unpredictable shading: ShadowContactBoost; ShadowFlowerAlbedoDarken; ShadowFlowerSc
/Game/EnvSandbox/Materials/Instances/Sakura/MI_Sakura_ToriiRed,/Game/EnvSandbox/Materials/Masters/M_Master_Toon_Universal.M_Master_Toon_Universal,DEAD-OVERRIDE,AtmosphericFadeStrength; SparkleNoiseScale,,MID,,Dead overrides may cause unpredictable shading: AtmosphericFadeStrength; SparkleNoiseScale
/Game/EnvSandbox/Materials/Instances/Sakura/MI_Sakura_TrimSoilCrystal,/Game/EnvSandbox/Materials/Masters/M_Master_Toon_Universal.M_Master_Toon_Universal,OK,,,MID,,Live overrides present
/Game/EnvSandbox/Materials/Instances/Sakura/MI_Sakura_Water,/Game/EnvSandbox/Materials/Masters/M_Master_Toon_Universal.M_Master_Toon_Universal,MARBLE-DEFAULT,,Albedo,MID,,Missing albedo texture - will show master default (likely grey/marble)
/Game/EnvSandbox/Materials/Instances/Terrain/MI_Terrain_BaroqueGrotto_Substrate,/Game/EnvSandbox/Materials/Masters/M_Master_Toon_Landscape_HeightBlend.M_Master_Toon_Landscape_HeightBlend,OK,,,HERO,,Live overrides present
/Game/EnvSandbox/Materials/Instances/Terrain/MI_Terrain_CosmicOrrery_Substrate,/Game/EnvSandbox/Materials/Masters/M_Master_Toon_Landscape_HeightBlend.M_Master_Toon_Landscape_HeightBlend,OK,,,HERO,,Live overrides present
/Game/EnvSandbox/Materials/Instances/Terrain/MI_Terrain_SakuraDream_Substrate,/Game/EnvSandbox/Materials/Masters/M_Master_Toon_Landscape_HeightBlend.M_Master_Toon_Landscape_HeightBlend,DEAD-OVERRIDE,TriplanarBlend,,HERO,,Dead overrides may cause unpredictable shading: TriplanarBlend
/Game/EnvSandbox/Materials/Instances/Terrain/MI_Terrain_SpaceCathedral_Substrate,/Game/EnvSandbox/Materials/Masters/M_Master_Toon_Landscape_HeightBlend.M_Master_Toon_Landscape_HeightBlend,OK,,,BACKGROUND,,Live overrides present
/Game/EnvSandbox/Materials/Instances/Tilable/MI_Tilable_BaseTrim_R078_Tile4,/Game/EnvSandbox/Materials/Masters/M_Master_Toon_Universal.M_Master_Toon_Universal,MARBLE-DEFAULT,,Albedo,BACKGROUND,,Missing albedo texture - will show master default (likely grey/marble)
/Game/EnvSandbox/Materials/Instances/Tilable/MI_Tilable_ConcreteTrim_R078_Tile4,/Game/EnvSandbox/Materials/Masters/M_Master_Toon_Universal.M_Master_Toon_Universal,MARBLE-DEFAULT,,Albedo,BACKGROUND,,Missing albedo texture - will show master default (likely grey/marble)
